Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1727143422,8,0,0,8,0,0,0,0
1727143423,8,0,0,8,0,0,0,0
1727143424,8,0,0,8,0,0,0,0
1727143425,8,0,0,8,0,0,0,0
1727143426,8,0,0,8,0,0,0,0
1727143427,8,0,0,8,0,0,0,0
1727143428,8,0,0,8,0,0,0,0
1727143429,8,0,0,8,0,0,0,0
1727143430,8,0,0,8,0,0,0,0
1727143431,8,0,0,8,0,0,0,0
1727143432,8,0,0,8,0,0,0,0
1727143433,8,0,0,8,0,0,0,0
1727143434,8,0,0,8,0,0,0,0
1727143435,8,0,0,8,0,0,0,0
1727143437,8,0,0,8,0,0,0,0
1727143438,8,0,0,8,0,0,0,0
1727143439,8,0,0,8,0,0,0,0
1727143440,8,0,0,8,0,0,0,0
1727143441,8,0,0,8,0,0,0,0
1727143442,8,0,0,8,0,0,0,0
1727143443,8,0,0,8,0,0,0,0
1727143444,8,0,0,8,0,0,0,0
1727143445,8,0,0,8,0,0,0,0
1727143446,8,0,0,8,0,0,0,0
1727143447,8,0,0,8,0,0,0,0
1727143448,8,0,0,8,0,0,0,0
1727143449,8,0,0,8,0,0,0,0
1727143450,8,0,0,8,0,0,0,0
1727143451,8,0,0,8,0,0,0,0
1727143452,8,0,0,8,0,0,0,0
1727143453,8,0,0,8,0,0,0,0
1727143454,8,0,0,8,0,0,0,0
1727143455,8,0,0,8,0,0,0,0
1727143456,8,0,0,8,0,0,0,0
1727143457,8,0,0,8,0,0,0,0
1727143459,8,0,0,8,0,0,0,0
1727143460,8,0,0,8,0,0,0,0
1727143461,8,0,0,8,0,0,0,0
1727143462,8,0,0,8,0,0,0,0
1727143463,8,0,0,8,0,0,0,0
1727143464,8,0,0,8,0,0,0,0
1727143465,8,0,0,8,0,0,0,0
1727143466,8,0,0,8,0,0,0,0
1727143467,8,0,0,8,0,0,0,0
1727143468,8,0,0,8,0,0,0,0
1727143469,8,0,0,8,0,0,0,0
1727143470,8,0,0,8,0,0,0,0
1727143471,8,0,0,8,0,0,0,0
1727143472,8,0,0,8,0,0,0,0
1727143473,8,0,0,8,0,0,0,0
1727143474,8,0,0,8,0,0,0,0
1727143475,8,0,0,8,0,0,0,0
1727143476,8,0,0,8,0,0,0,0
1727143477,8,0,0,8,0,0,0,0
